ClientID,LastName,FirstName,Gender,Race,DOB
C00001,Last0,First0,F,Hispanic,2009-03-26
C00002,Last1,First1,F,Black,2010-02-09
C00003,Last2,First2,F,Black,2008-08-11
C00004,Last3,First3,M,Black,2007-02-12
C00005,Last4,First4,F,White,2007-09-06
C00006,Last5,First5,M,White,2009-04-18
C00007,Last6,First6,F,Black,2007-08-15
C00008,Last7,First7,M,Asian,2009-08-10
C00009,Last8,First8,M,Other,2005-06-28
C00010,Last9,First9,M,White,2008-07-27
C00011,Last10,First10,M,Asian,2010-04-22
C00012,Last11,First11,F,Asian,2009-04-11
C00013,Last12,First12,F,Other,2009-05-01
C00014,Last13,First13,F,Black,2006-09-16
C00015,Last14,First14,F,Asian,2010-07-22
C00016,Last15,First15,M,Asian,2005-06-01
C00017,Last16,First16,F,Asian,2006-06-02
C00018,Last17,First17,F,Black,2010-08-20
C00019,Last18,First18,F,Black,2008-09-21
C00020,Last19,First19,M,White,2006-02-16
C00021,Last20,First20,F,White,2009-12-09
C00022,Last21,First21,M,Asian,2006-02-13
C00023,Last22,First22,F,Black,2010-11-25
C00024,Last23,First23,M,Black,2010-02-15
C00025,Last24,First24,M,Other,2005-03-04
C00026,Last25,First25,F,Asian,2006-08-14
C00027,Last26,First26,M,White,2009-08-07
C00028,Last27,First27,M,Other,2006-09-25
C00029,Last28,First28,M,Black,2005-11-03
C00030,Last29,First29,F,White,2010-04-08
C00031,Last30,First30,F,Asian,2007-12-22
C00032,Last31,First31,M,Black,2008-10-18
C00033,Last32,First32,M,Asian,2009-06-17
C00034,Last33,First33,M,Other,2005-11-25
C00035,Last34,First34,M,Other,2008-09-07
C00036,Last35,First35,M,Other,2010-12-26
C00037,Last36,First36,M,Hispanic,2009-04-06
C00038,Last37,First37,M,Asian,2008-07-21
C00039,Last38,First38,F,Other,2010-06-22
C00040,Last39,First39,M,Other,2005-05-28
C00041,Last40,First40,M,Asian,2005-10-08
C00042,Last41,First41,M,Other,2007-08-20
C00043,Last42,First42,F,Asian,2008-03-23
C00044,Last43,First43,M,Black,2007-07-21
C00045,Last44,First44,M,Asian,2006-01-06
C00046,Last45,First45,M,Asian,2009-11-13
C00047,Last46,First46,F,Hispanic,2006-02-08
C00048,Last47,First47,M,Black,2006-02-16
C00049,Last48,First48,F,Hispanic,2009-12-23
C00050,Last49,First49,M,Other,2006-11-13
C00051,Last50,First50,F,Asian,2008-05-11
C00052,Last51,First51,F,Black,2005-04-29
C00053,Last52,First52,M,Hispanic,2005-07-08
C00054,Last53,First53,M,Asian,2008-08-21
C00055,Last54,First54,F,White,2005-08-18
C00056,Last55,First55,M,Hispanic,2008-04-16
C00057,Last56,First56,M,Black,2009-01-08
C00058,Last57,First57,F,Hispanic,2009-03-16
C00059,Last58,First58,M,Hispanic,2009-10-31
C00060,Last59,First59,M,Hispanic,2006-08-20
C00061,Last60,First60,M,Other,2007-09-28
C00062,Last61,First61,M,White,2010-12-16
C00063,Last62,First62,M,Black,2009-08-15
C00064,Last63,First63,F,Black,2007-01-08
C00065,Last64,First64,M,Black,2006-11-28
C00066,Last65,First65,M,Asian,2006-12-19
C00067,Last66,First66,F,Black,2005-11-20
C00068,Last67,First67,M,Black,2009-04-16
C00069,Last68,First68,M,White,2007-09-14
C00070,Last69,First69,F,Asian,2010-08-01
C00071,Last70,First70,F,Asian,2006-08-10
C00072,Last71,First71,F,Hispanic,2007-08-10
C00073,Last72,First72,F,Other,
C00074,Last73,First73,F,Asian,2007-11-07
C00075,Last74,First74,M,Asian,2010-02-26
C00076,Last75,First75,M,White,2007-11-12
C00077,Last76,First76,M,Black,
C00078,Last77,First77,F,Asian,2010-03-21
C00079,Last78,First78,F,Asian,2008-03-24
C00080,Last79,First79,M,Other,2006-10-10
C00081,Last80,First80,M,White,2005-10-30
C00082,Last81,First81,F,Other,2009-12-15
C00083,Last82,First82,M,Asian,2008-11-16
C00084,Last83,First83,M,Asian,2008-05-10
C00085,Last84,First84,M,White,2009-10-04
C00086,Last85,First85,M,Hispanic,2007-10-22
C00087,Last86,First86,M,Hispanic,2010-02-15
C00088,Last87,First87,F,Asian,2008-05-22
C00089,Last88,First88,F,Asian,2007-03-27
C00090,Last89,First89,M,Other,2009-04-25
C00091,Last90,First90,F,Other,2010-06-03
C00092,Last91,First91,M,Other,2006-03-13
C00093,Last92,First92,M,Black,2007-08-30
C00094,Last93,First93,M,Asian,2009-04-12
C00095,Last94,First94,F,Black,2009-01-10
C00096,Last95,First95,M,Hispanic,2008-04-26
C00097,Last96,First96,F,Asian,2008-04-24
C00098,Last97,First97,F,Asian,2005-03-31
C00099,Last98,First98,F,White,2009-06-10
C00100,Last99,First99,F,Asian,2008-01-30
C00101,Last100,First100,M,Hispanic,2005-02-03
C00102,Last101,First101,F,Asian,2005-07-20
C00103,Last102,First102,M,Black,2010-07-28
C00104,Last103,First103,F,Asian,2008-03-18
C00105,Last104,First104,M,Black,2007-08-01
C00106,Last105,First105,M,Other,2008-12-14
C00107,Last106,First106,F,Other,2007-06-17
C00108,Last107,First107,F,White,2007-02-18
C00109,Last108,First108,F,Asian,2007-10-24
C00110,Last109,First109,M,Other,2006-07-15
C00111,Last110,First110,M,Other,2006-02-02
C00112,Last111,First111,M,White,2005-06-11
C00113,Last112,First112,M,White,2008-06-19
C00114,Last113,First113,F,Asian,2009-12-11
C00115,Last114,First114,F,Black,2005-05-17
C00116,Last115,First115,M,Asian,2009-02-03
C00117,Last116,First116,F,Black,2006-06-23
C00118,Last117,First117,M,White,2006-01-05
C00119,Last118,First118,M,Hispanic,2008-04-23
C00120,Last119,First119,M,Asian,2008-08-31
C00121,Last120,First120,F,Hispanic,2009-08-29
C00122,Last121,First121,M,Black,2006-12-21
C00123,Last122,First122,F,Asian,2007-04-03
C00124,Last123,First123,M,Hispanic,2006-06-26
C00125,Last124,First124,F,Hispanic,2009-02-07
C00126,Last125,First125,M,Asian,2010-12-15
C00127,Last126,First126,M,Hispanic,2010-08-18
C00128,Last127,First127,F,Asian,2008-01-22
C00129,Last128,First128,M,Hispanic,2006-11-05
C00130,Last129,First129,M,White,2007-11-19
C00131,Last130,First130,M,Asian,2010-05-28
C00132,Last131,First131,M,White,2008-04-23
C00133,Last132,First132,M,Other,2008-10-19
C00134,Last133,First133,F,White,2006-04-17
C00135,Last134,First134,M,Hispanic,2010-04-03
C00136,Last135,First135,M,Black,2005-11-05
C00137,Last136,First136,M,White,2006-07-31
C00138,Last137,First137,F,White,2007-07-14
C00139,Last138,First138,F,White,2009-06-16
C00140,Last139,First139,F,Black,2009-02-07
C00141,Last140,First140,M,Black,
C00142,Last141,First141,M,White,2009-06-05
C00143,Last142,First142,F,Other,2005-02-27
C00144,Last143,First143,F,Black,2007-12-20
C00145,Last144,First144,F,Black,2006-05-22
C00146,Last145,First145,F,Black,2010-02-06
C00147,Last146,First146,M,Asian,2009-02-18
C00148,Last147,First147,F,White,2007-12-10
C00149,Last148,First148,F,Other,2009-04-10
C00150,Last149,First149,F,Black,2009-03-02
C00151,Last150,First150,M,Asian,2006-03-20
C00152,Last151,First151,F,Hispanic,2007-08-16
C00153,Last152,First152,M,Hispanic,2010-04-16
C00154,Last153,First153,M,Black,2005-04-13
C00155,Last154,First154,M,Other,2008-09-05
C00156,Last155,First155,M,Other,2007-06-26
C00157,Last156,First156,M,White,2005-09-16
C00158,Last157,First157,M,Black,2010-03-17
C00159,Last158,First158,F,Hispanic,2008-05-22
C00160,Last159,First159,M,White,2009-07-31
C00161,Last160,First160,F,Other,2006-04-23
C00162,Last161,First161,F,White,2006-07-27
C00163,Last162,First162,M,Hispanic,2005-07-05
C00164,Last163,First163,M,Other,2005-06-02
C00165,Last164,First164,M,Asian,2008-05-31
C00166,Last165,First165,M,Asian,2010-07-11
C00167,Last166,First166,F,Black,2006-04-21
C00168,Last167,First167,F,White,2006-02-03
C00169,Last168,First168,F,Other,2007-08-20
C00170,Last169,First169,M,Black,2006-07-10
C00171,Last170,First170,F,White,2009-05-11
C00172,Last171,First171,F,Hispanic,2010-02-02
C00173,Last172,First172,M,Other,2009-02-28
C00174,Last173,First173,F,White,
C00175,Last174,First174,F,Other,2006-09-25
C00176,Last175,First175,M,White,2009-08-27
C00177,Last176,First176,F,Hispanic,2006-02-10
C00178,Last177,First177,F,Other,2010-06-28
C00179,Last178,First178,F,Asian,2009-07-30
C00180,Last179,First179,M,Hispanic,2008-02-20
C00181,Last180,First180,M,White,2005-05-15
C00182,Last181,First181,M,Other,2009-02-26
C00183,Last182,First182,M,Hispanic,2007-06-09
C00184,Last183,First183,F,White,2009-12-22
C00185,Last184,First184,M,Asian,2009-12-27
C00186,Last185,First185,M,Asian,2007-08-26
C00187,Last186,First186,F,White,2009-01-25
C00188,Last187,First187,F,Asian,2006-02-11
C00189,Last188,First188,M,Hispanic,2009-02-13
C00190,Last189,First189,M,Asian,2009-01-09
C00191,Last190,First190,M,Black,2005-09-06
C00192,Last191,First191,F,Asian,2009-06-19
C00193,Last192,First192,F,Black,2008-02-05
C00194,Last193,First193,F,Other,2007-02-17
C00195,Last194,First194,F,Hispanic,2006-05-16
C00196,Last195,First195,F,Other,2010-02-06
C00197,Last196,First196,M,Other,2006-01-11
C00198,Last197,First197,M,Asian,2007-05-19
C00199,Last198,First198,M,Asian,2005-03-29
C00200,Last199,First199,F,Asian,2005-07-27
C00201,Last200,First200,M,Other,2008-09-28
C00202,Last201,First201,M,Hispanic,2007-09-25
C00203,Last202,First202,M,Hispanic,2006-05-31
C00204,Last203,First203,M,Black,2007-04-21
C00205,Last204,First204,F,White,2005-10-09
C00206,Last205,First205,F,Hispanic,2007-04-29
C00207,Last206,First206,M,Asian,2007-06-04
C00208,Last207,First207,M,Black,2007-08-13
C00209,Last208,First208,F,Asian,2008-09-07
C00210,Last209,First209,F,Other,2006-08-28
C00211,Last210,First210,F,Other,2005-01-12
C00212,Last211,First211,F,Asian,2008-02-10
C00213,Last212,First212,F,Hispanic,2006-08-16
C00214,Last213,First213,M,White,2006-06-17
C00215,Last214,First214,F,Asian,2007-10-24
C00216,Last215,First215,M,Hispanic,2006-12-16
C00217,Last216,First216,M,Black,2006-03-27
C00218,Last217,First217,F,Asian,2005-04-16
C00219,Last218,First218,M,Black,2006-06-24
C00220,Last219,First219,M,Hispanic,2005-03-02
C00221,Last220,First220,M,Hispanic,2009-01-07
C00222,Last221,First221,M,Hispanic,2007-09-02
C00223,Last222,First222,M,Hispanic,2008-08-19
C00224,Last223,First223,M,Other,2005-03-06
C00225,Last224,First224,M,Hispanic,2006-12-15
C00226,Last225,First225,M,Other,2007-12-23
C00227,Last226,First226,M,White,2005-08-03
C00228,Last227,First227,M,Other,2006-06-04
C00229,Last228,First228,M,Black,2009-09-21
C00230,Last229,First229,M,White,2010-11-25
C00231,Last230,First230,M,Black,2006-04-11
C00232,Last231,First231,F,Asian,2005-09-18
C00233,Last232,First232,F,Asian,2010-05-05
C00234,Last233,First233,F,Other,2010-01-11
C00235,Last234,First234,F,Black,2009-01-22
C00236,Last235,First235,M,Asian,2010-10-04
C00237,Last236,First236,F,Asian,2006-03-23
C00238,Last237,First237,M,Asian,2010-01-26
C00239,Last238,First238,F,White,2010-08-26
C00240,Last239,First239,M,White,2007-06-27
C00241,Last240,First240,M,Hispanic,2005-06-27
C00242,Last241,First241,F,Black,2010-11-06
C00243,Last242,First242,M,Asian,2008-05-20
C00244,Last243,First243,M,Black,2010-02-20
C00245,Last244,First244,F,Hispanic,2005-05-08
C00246,Last245,First245,M,Other,2005-09-07
C00247,Last246,First246,M,Hispanic,2010-05-16
C00248,Last247,First247,F,Asian,2009-07-04
C00249,Last248,First248,M,Other,2009-10-13
C00250,Last249,First249,M,Other,2006-03-19
C00251,Last250,First250,F,Hispanic,2010-07-02
C00252,Last251,First251,F,Asian,2009-12-22
C00253,Last252,First252,M,Other,2005-10-29
C00254,Last253,First253,M,Hispanic,2005-11-27
C00255,Last254,First254,M,Hispanic,2008-08-12
C00256,Last255,First255,F,Asian,2006-08-31
C00257,Last256,First256,M,Hispanic,2005-09-27
C00258,Last257,First257,M,Hispanic,2006-06-01
C00259,Last258,First258,F,Hispanic,2008-02-01
C00260,Last259,First259,M,Black,2008-08-24
C00261,Last260,First260,M,White,2009-04-10
C00262,Last261,First261,M,Black,2010-12-14
C00263,Last262,First262,M,Hispanic,2008-04-22
C00264,Last263,First263,M,White,2010-02-02
C00265,Last264,First264,M,Other,2010-09-02
C00266,Last265,First265,M,Black,2009-10-29
C00267,Last266,First266,F,Black,2006-02-11
C00268,Last267,First267,M,Black,2006-04-14
